Channel Name,Channel ID,Category
유디티TV,UC0ZqpSq-OIpOITZ7U16-Xeg,푸드/쿠킹
솔라시도 solarsido,UCNx0TXIuGVEA_TWB5H2I6Lg,엔터테인먼트
CBeebies,UC0fXNmjDoC7ckPyT6qM8Urw,음악/댄스
런닝맨 - 스브스 공식 채널,UCaKod3X1Tn4c7Ci0iUKcvzQ,엔터테인먼트
쿠킹하루 Cooking Haru :),UCC8bTxyN2ZCfMzS_JAEClfA,푸드/쿠킹
CheezeFilm,UCYn09ySlShmzBtYwl1OgOsA,영화/애니메이션
리월드RIWORLD,UC7UbS3kToagugtwtcF2m3Fg,엔터테인먼트
럭키강이 LuckyKang i,UCDHIA4d_e4SOrODpU7nrVtA,게임
승빈Seungbin,UCOTO6JU7qJf5E-kFDam30VQ,라이프스타일
Boram Tube France,UCTn6qZpnugmCYDgOegst6Pg,키즈
We Simulate,UCRcFxTTnMEMt1Dp3PngdA7g,라이프스타일
Liry Onni,UC8t7S1o1dzvr9j1_idpVTSQ,엔터테인먼트
Thankyou BUBU,UCpg89Ys3E4BaLGgEEWVmI9g,라이프스타일
DONA दोना हिंदी,UCKomJofn2tjTEJR2YL_bSWg,키즈
피지컬갤러리,UCdtRAcd3L_UpV4tMXCw63NQ,스포츠/헬스
숏박스,UC1B6SalAoiJD7eHfMUA9QrA,엔터테인먼트
오마이비키 OMV,UCDsDdULLy8bbeFfAPC2mp5w,푸드/쿠킹
Adventure Story,UCHeWOk-AgBKKhWvhCpCeu4g,키즈
옐라이 Yella.E,UCVOoB76QkFiP2NbI5RWkMGw,라이프스타일
KBS News,UCcQTRi69dsVYHN3exePtZ1A,뉴스/정치/이슈
김종국 GYM JONG KOOK,UCoe-0EVDJnjlSoPK8ygcGwQ,스포츠/헬스
Andrew Foy 앤디,UCuNVQeVXwfwxVUKdrCQgk3A,음악/댄스
AliceWorld,UCbBW6AfS23jAmGI5eEm-AwA,키즈
MariAndToys,UCMY30BnMbn6wElwLvDgcajw,키즈
키에커,UC6u3fosnyufBiUiS3w609zw,영화/애니메이션
Lizzo Music,UCXVMHu5xDH1oOfUGvaLyjGg,음악/댄스
HyunA,UC0uTcuuOtUFwtn9aKUVGjXg,인물/유명인
